"Spec","mitochondrion Acc","Len","coi Acc","Len","coii Acc","Len","coiii Acc","Len"
"Allograpta calopus",NA,NA,"EF127311.1","638",NA,NA,NA,NA
"Allograpta exotica",NA,NA,"MN704973.1","658",NA,NA,NA,NA
"Allograpta fuscisquama",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta hortensis",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta neotropica",NA,NA,"EU241734.1","1361",NA,NA,NA,NA
"Allograpta nummularia",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta obliqua","OR183370.1","15075","MW473951.1","661",NA,NA,NA,NA
"Allograpta pfeifferi",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta pulchra(hybrid?)",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta pulchra(I)",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta sp.25",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta sp.26",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta sp.27",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta sp.AE",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta sp.BP",NA,NA,NA,NA,NA,NA,NA,NA
"Allograpta venusta",NA,NA,NA,NA,NA,NA,NA,NA
"Amauromyza flavifrons",NA,NA,"MG115459.1","658",NA,NA,NA,NA
"Amauromyza verbasci",NA,NA,NA,NA,NA,NA,NA,NA
"Amenia chrysame",NA,NA,NA,NA,NA,NA,NA,NA
"Amphicnephes sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Anastepha ludens",NA,NA,NA,NA,NA,NA,NA,NA
"Anastrepha amita",NA,NA,"MT654924.1","675",NA,NA,NA,NA
"Anastrepha aphelocentema",NA,NA,"MT654965.1","624",NA,NA,NA,NA
"Anastrepha barnesi",NA,NA,"MT884389.1","658",NA,NA,NA,NA
"Anastrepha bistrigata",NA,NA,"MF695475.1","584",NA,NA,NA,NA
"Anastrepha distincta",NA,NA,"MT884392.1","658","EF621368.1","224",NA,NA
"Anastrepha fraterculus","NC_034912.1","16739","MT643925.1","708","MG020783.1","556",NA,NA
"Anastrepha grandis",NA,NA,"MT884231.1","658","MG020786.1","556",NA,NA
"Anastrepha leptozona",NA,NA,"MT884403.1","658",NA,NA,NA,NA
"Anastrepha ludens","NC_071714.1","16955","MT654761.1","618","MG020785.1","556",NA,NA
"Anastrepha mombinpraeoptans",NA,NA,NA,NA,NA,NA,NA,NA
"Anastrepha montei",NA,NA,"MT884373.1","658",NA,NA,NA,NA
"Anastrepha obliqua",NA,NA,"MT884404.1","658","MG020784.1","556",NA,NA
"Anastrepha pickeli",NA,NA,"MT884292.1","658",NA,NA,NA,NA
"Anastrepha pseudoparallela",NA,NA,"MT654873.1","657",NA,NA,NA,NA
"Anastrepha serpentina","NC_071717.1","16847","MT884198.1","658","EF621365.1","224",NA,NA
"Anastrepha sororcula",NA,NA,"MF838832.1","573",NA,NA,NA,NA
"Anastrepha spatula",NA,NA,NA,NA,NA,NA,NA,NA
"Anastrepha spatulata",NA,NA,"MF695421.1","587",NA,NA,NA,NA
"Anastrepha striata",NA,NA,"MT884255.1","658","EU332689.1","402",NA,NA
"Anastrepha suspensa","NC_071719.1","16773","MF695445.1","587","AF517694.1","110",NA,NA
"Anastrepha turpiniae",NA,NA,"MF695582.1","584",NA,NA,NA,NA
"Anastrepha zenildae",NA,NA,"MF695586.1","584",NA,NA,NA,NA
"Anastrepha zuelaniae",NA,NA,NA,NA,NA,NA,NA,NA
"Anatopynia dyar",NA,NA,NA,NA,NA,NA,NA,NA
"Anatopynia plumipes",NA,NA,"KX684076.1","765",NA,NA,NA,NA
"Anopheles aconitus","NC_039540.1","15359","NC_039540.1","15359","NC_039540.1","15359","NC_039540.1","15359"
"Anopheles agrgyritarsus",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles albimanus",NA,NA,"MW339706.1","658","AF417731.1","604",NA,NA
"Anopheles albitarsis","NC_020662.1","15413","NC_020662.1","15413","NC_020662.1","15413","NC_020662.1","15413"
"Anopheles algeriensis",NA,NA,"MK402867.1","658",NA,NA,NA,NA
"Anopheles annularis",NA,NA,"MH330210.1","672","EU620675.1","685",NA,NA
"Anopheles annulipes","NC_054312.1","15350","MW669572.1","489","DQ420551.1","345",NA,NA
"Anopheles aquasalis","NC_064605.1","15384","AF417697.1","899","AF417733.1","602",NA,NA
"Anopheles argyritarsis","NC_037807.1","15403","MT999194.1","621","U92370.1","604",NA,NA
"Anopheles atroparvus","NC_028213.1","15458","MN413939.1","562","MG560165.1","697",NA,NA
"Anopheles atropos",NA,NA,"AF417714.1","903","AF417750.1","604",NA,NA
"Anopheles aztecus",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles balabacensis",NA,NA,NA,NA,"MH032747.1","766",NA,NA
"Anopheles barberi",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles barbirostris","NC_072605.1","15429","MN540332.1","593","JX070720.1","681",NA,NA
"Anopheles barbumbrosus",NA,NA,"MT669934.1","1501","JX070722.1","681",NA,NA
"Anopheles bradleyi",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles braziliensis","NC_037791.1","15397","MH844357.1","642","U92381.1","604",NA,NA
"Anopheles campestris",NA,NA,"EU797280.1","756","AB436157.1","730",NA,NA
"Anopheles christyi","NC_028214.1","14967",NA,NA,NA,NA,NA,NA
"Anopheles claviger",NA,NA,NA,NA,"JX070702.1","681",NA,NA
"Anopheles crucians",NA,NA,"MN968252.1","658",NA,NA,NA,NA
"Anopheles culicifacies","NC_028216.1","15364","MK170085.1","655","EF208913.1","789",NA,NA
"Anopheles culicifaciesA",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles culicifaciesB",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles darlingi","NC_064612.1","15395","MH844343.1","642","AF417734.1","604",NA,NA
"Anopheles dirus",NA,NA,"AF417707.1","903","AF417743.1","604",NA,NA
"Anopheles earlei",NA,NA,"MG474692.1","303","AF425843.1","2299",NA,NA
"Anopheles engarensis",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles farauti","JX219741.1","15412","AF417708.1","903","AF417744.1","604",NA,NA
"Anopheles flavirostris",NA,NA,"AY943665.1","261","U94300.1","684",NA,NA
"Anopheles franciscanus",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles freeborni",NA,NA,"AF417717.1","903","AF417753.1","604",NA,NA
"Anopheles gambiae","NC_083487.1","15363","OK257529.1","115","MW179586.1","714",NA,NA
"Anopheles hectoris",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles indefinitus",NA,NA,NA,NA,"AY953355.1","685",NA,NA
"Anopheles jeyporiensis",NA,NA,"MK138573.1","656","HQ403913.1","685",NA,NA
"Anopheles judithae",NA,NA,"AF417722.1","903","AF417758.1","604",NA,NA
"Anopheles kochi",NA,NA,"MT669942.1","1501","EU620676.1","685",NA,NA
"Anopheles labranchiae",NA,NA,"HQ860419.1","658",NA,NA,NA,NA
"Anopheles letifer",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles maculatus","NC_028218.1","14850","MH330208.1","672","MN173620.1","560",NA,NA
"Anopheles maculipennis",NA,NA,"MW535813.1","658",NA,NA,NA,NA
"Anopheles melanoon",NA,NA,"MH643758.1","658",NA,NA,NA,NA
"Anopheles melas","NC_028219.1","15366","DQ792580.1","2303","MW179582.1","714",NA,NA
"Anopheles merus","NC_028220.1","15365","MG560163.1","1403","MG560167.1","697",NA,NA
"Anopheles messeae",NA,NA,"MK403490.1","658","AY953352.1","685",NA,NA
"Anopheles minimusA",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles minimusC",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles neomaculipalpus",NA,NA,"MG701382.1","619",NA,NA,NA,NA
"Anopheles nigerrimus",NA,NA,NA,NA,"AB778812.1","730",NA,NA
"Anopheles noroestensis",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles nuneztovari",NA,NA,"MH844353.1","643","AF417736.1","604",NA,NA
"Anopheles occidentalis",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles pampanai",NA,NA,"AY423054.1","524","AY486112.1","631",NA,NA
"Anopheles paraliae",NA,NA,"AB781771.1","658","AB733522.1","730",NA,NA
"Anopheles peditaeniatus","NC_071884.1","15413","MH330207.1","672","JX070719.1","681",NA,NA
"Anopheles perplexens",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles plubeus",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles plumbeus",NA,NA,"OP382186.1","626","MG560166.1","697",NA,NA
"Anopheles pseudopunctipennis",NA,NA,"MT999253.1","642","AF417757.1","591",NA,NA
"Anopheles pulcherrimus",NA,NA,"MH260249.1","516","FJ526478.1","621",NA,NA
"Anopheles punctimacula",NA,NA,"MH844169.1","616","AF417755.1","604",NA,NA
"Anopheles punctipennis",NA,NA,"AF417720.1","887","AF417756.1","604",NA,NA
"Anopheles quadrimaculatus",NA,NA,"KR663155.1","658",NA,NA,NA,NA
"Anopheles sacharovi",NA,NA,"MF095673.1","635",NA,NA,NA,NA
"Anopheles sinensis",NA,NA,"MG816568.1","15407","ON400661.1","294","MG816568.1","15407"
"Anopheles sp",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles stephensi","NC_028223.1","15387","MK170098.1","645","AF417749.1","604",NA,NA
"Anopheles strodei","NC_037808.1","15388","MH589368.1","624","U92405.1","416",NA,NA
"Anopheles subpictus",NA,NA,NA,NA,"AF417747.1","604",NA,NA
"Anopheles sundaicus",NA,NA,"AF417712.1","879","AF417748.1","604",NA,NA
"Anopheles superpictus",NA,NA,NA,NA,"FJ526436.1","621",NA,NA
"Anopheles takasagoensis",NA,NA,"DQ897964.1","250",NA,NA,NA,NA
"Anopheles tessellatus",NA,NA,"MH330209.1","672","EU620674.1","685",NA,NA
"Anopheles umbrosus",NA,NA,NA,NA,NA,NA,NA,NA
"Anopheles vagus",NA,NA,"MT669956.1","1501","AY953357.1","685",NA,NA
"Anopheles varuna",NA,NA,"MK216790.1","642","AY486113.1","631",NA,NA
"Anopheles vestitipennis",NA,NA,"MW339714.1","658",NA,NA,NA,NA
"Anthracomyza atratula",NA,NA,NA,NA,NA,NA,NA,NA
"Anthrax anthrax",NA,NA,"MZ608391.1","658",NA,NA,NA,NA
"Anthrax cordillerensis",NA,NA,NA,NA,NA,NA,NA,NA
"Anthrax lateralis",NA,NA,NA,NA,NA,NA,NA,NA
"Anthrax mystaceus",NA,NA,NA,NA,NA,NA,NA,NA
"Anthrax oedipus",NA,NA,NA,NA,NA,NA,NA,NA
"Anthrax sinuosa",NA,NA,NA,NA,NA,NA,NA,NA
"Anthrax tigrinus",NA,NA,NA,NA,NA,NA,NA,NA
"Anthrax yamashiroensis",NA,NA,NA,NA,NA,NA,NA,NA
"Antichaeta melanosoma",NA,NA,NA,NA,NA,NA,NA,NA
"Antopocerus aduncus",NA,NA,NA,NA,NA,NA,NA,NA
"Antopocerus aduncus or damphidiopodus?",NA,NA,NA,NA,NA,NA,NA,NA
"Antopocerus arcuatus",NA,NA,NA,NA,NA,NA,NA,NA
"Antopocerus cognatus",NA,NA,NA,NA,NA,NA,NA,NA
"Antopocerus diamphidiopodus",NA,NA,NA,NA,NA,NA,NA,NA
"Antopocerus tanythrix",NA,NA,NA,NA,NA,NA,NA,NA
"Antopocerus villosus",NA,NA,NA,NA,NA,NA,NA,NA
"Aphiocaeta sp",NA,NA,NA,NA,NA,NA,NA,NA
"Aplomya caesar",NA,NA,NA,NA,NA,NA,NA,NA
"Aplomya mitis",NA,NA,NA,NA,NA,NA,NA,NA
"Arachnidiomyia aldrichi",NA,NA,NA,NA,NA,NA,NA,NA
"Archylas apicifer",NA,NA,NA,NA,NA,NA,NA,NA
"Archytas apicifera",NA,NA,NA,NA,NA,NA,NA,NA
"Archytas prob.Apicifer",NA,NA,NA,NA,NA,NA,NA,NA
"Armigeres obturbans",NA,NA,NA,NA,NA,NA,NA,NA
"Armigeres subalbatus","OR686178.1","662","LC646440.1","658","HQ398972.1","699",NA,NA
"Asarkina clara",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina fulva",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina morokaensis",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina porcina",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina rostrata",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina sp.A",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina sp.B",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina sp.C",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina sp.D",NA,NA,NA,NA,NA,NA,NA,NA
"Asarkina sp.E",NA,NA,NA,NA,NA,NA,NA,NA
"Asilus lecythus",NA,NA,"MG968034.1","614",NA,NA,NA,NA
"Asilus notatus",NA,NA,NA,NA,NA,NA,NA,NA
"Asilus sericeus",NA,NA,"JN289751.1","637",NA,NA,NA,NA
"Asphondylia monacha",NA,NA,"KP208519.1","708",NA,NA,NA,NA
"Asteromyia rubra",NA,NA,NA,NA,NA,NA,NA,NA
"Atrichomelina pubera",NA,NA,"MF842792.1","537","AY875182.1","669",NA,NA
"Atylotus bicolor",NA,NA,NA,NA,NA,NA,NA,NA
"Atylotus fulvus",NA,NA,"OK065279.1","658",NA,NA,NA,NA
"Atylotus horvathi","ON244975.1","954","KF966580.1","658",NA,NA,NA,NA
"Atylotus loewianus",NA,NA,"MZ563360.1","658",NA,NA,NA,NA
"Atylotus ohioensis",NA,NA,NA,NA,NA,NA,NA,NA
"Atylotus pulchelluskarybenthinus",NA,NA,NA,NA,NA,NA,NA,NA
"Austrodacus cucumis",NA,NA,NA,NA,NA,NA,NA,NA
"Axarus festivus",NA,NA,"KR085217.1","658",NA,NA,NA,NA
"Axona chalcopyga",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha alicia",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha asthenia",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha clavata",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha clavata(I)",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha clavata(II)",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha costata",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha debasa",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha elongata","OR183375.1","2780","MF830985.1","567",NA,NA,NA,NA
"Baccha estrelita",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha fasciata",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha fascipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha flavipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha funebris",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha fuscipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha gastrostacta",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha laudabilis",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha livida",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha loewi",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha maculata",NA,NA,"KF919054.1","658",NA,NA,NA,NA
"Baccha melanorrhina",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha mexicana",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha n.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha neavei",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha norina",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha nymphaea",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha obscuripennis",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha polista",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha purpuricola",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha sapphirina",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha scutellata",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha siphanticida",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha sp.A1",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha sp.B1",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha virginio",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha vittiger",NA,NA,NA,NA,NA,NA,NA,NA
"Baccha zilla",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera arecae","NC_028327.1","15900","NC_028327.1","15900","NC_028327.1","15900","NC_028327.1","15900"
"Bactrocera carambolae","NC_009772.1","15915","MN255886.1","615","MG020790.1","556","DQ462351.1","789"
"Bactrocera cucurbitae",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera diversa",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera diversus",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera irvingiae",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera latifrons",NA,NA,"MN255976.1","614","MG020799.1","556","DQ462356.1","789"
"Bactrocera melastomatos","NC_029467.1","15954","MT456356.1","809","MZ262057.1","687",NA,NA
"Bactrocera modican.comb.",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera oleae","NC_005333.1","15815","MZ358375.1","450","MZ262078.1","687",NA,NA
"Bactrocera propinqua",NA,NA,"MK695998.1","586",NA,NA,NA,NA
"Bactrocera pyrifoliae",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera rubellan.comb.",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera scutellaris",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera tau",NA,NA,NA,NA,NA,NA,NA,NA
"Bactrocera zonatus",NA,NA,NA,NA,NA,NA,NA,NA
"Bengalia inermis",NA,NA,NA,NA,NA,NA,NA,NA
"Bengalia lyneborgi",NA,NA,NA,NA,NA,NA,NA,NA
"Berdeniella sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Beris chalybeata",NA,NA,NA,NA,NA,NA,NA,NA
"Beris chalyeata",NA,NA,NA,NA,NA,NA,NA,NA
"Bessa selecta",NA,NA,"KX844211.1","658",NA,NA,NA,NA
"Betasyrphus adligatus",NA,NA,NA,NA,NA,NA,NA,NA
"Betasyrphus hirticeps",NA,NA,NA,NA,NA,NA,NA,NA
"Betasyrphus sp.C",NA,NA,NA,NA,NA,NA,NA,NA
"Betasyrphus sp.D",NA,NA,NA,NA,NA,NA,NA,NA
"Betasyrphus sp.E",NA,NA,NA,NA,NA,NA,NA,NA
"Betasyrphus sp.F",NA,NA,NA,NA,NA,NA,NA,NA
"Bibio bortulanus",NA,NA,NA,NA,NA,NA,NA,NA
"Bibio hortulanus",NA,NA,NA,NA,NA,NA,NA,NA
"Blaesoxipha hunteri",NA,NA,"MF860190.1","576",NA,NA,NA,NA
"Blaesoxipha opifera",NA,NA,NA,NA,NA,NA,NA,NA
"Blepharicnema splendens",NA,NA,"MH033967.1","327",NA,NA,NA,NA
"Blera analis",NA,NA,"MW474082.1","661",NA,NA,NA,NA
"Blera badia",NA,NA,"MF829557.1","588",NA,NA,NA,NA
"Blera confusa",NA,NA,NA,NA,NA,NA,NA,NA
"Blera fallax","OX337251.1","16206","MW128357.1","658",NA,NA,NA,NA
"Blera nigra",NA,NA,"MG473290.1","507",NA,NA,NA,NA
"Blera scitula",NA,NA,NA,NA,NA,NA,NA,NA
"Boettcheria cimbicis",NA,NA,"MG473394.1","501","GQ223295.1","586",NA,NA
"Boettcherisca peregrina",NA,NA,NA,NA,NA,NA,NA,NA
"Bombylius fulvescens",NA,NA,NA,NA,NA,NA,NA,NA
"Bombylius pygmaeus",NA,NA,NA,NA,NA,NA,NA,NA
"Boreellus atriceps",NA,NA,NA,NA,NA,NA,NA,NA
"Brachyopa scutellaris","OX459117.1","16680",NA,NA,NA,NA,NA,NA
"Brachypeza radiata",NA,NA,NA,NA,NA,NA,NA,NA
"Bradysia hygida",NA,NA,NA,NA,NA,NA,NA,NA
"Bufolucilia silvarum",NA,NA,NA,NA,NA,NA,NA,NA
"Bunostoma anomala",NA,NA,NA,NA,NA,NA,NA,NA
"Bunostoma n. sp. Near anomala",NA,NA,NA,NA,NA,NA,NA,NA
"Bunostoma palmae",NA,NA,NA,NA,NA,NA,NA,NA
"Bunostoma varifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Bunostoma xanthopleura",NA,NA,NA,NA,NA,NA,NA,NA
"Cacoxenus indigator",NA,NA,NA,NA,NA,NA,NA,NA
"Calliopum aeneum",NA,NA,"MZ608006.1","658",NA,NA,NA,NA
"Calliphora accepta",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora bomitoria",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora croceipalpisI",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora croceipalpisII",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora erythrocephala",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora fallax",NA,NA,"AY842586.1","818","AY842640.1","638",NA,NA
"Calliphora fulviceps",NA,NA,"JN014903.1","2300","JN014903.1","2300",NA,NA
"Calliphora fulvicoxa",NA,NA,NA,NA,"AY842641.1","635",NA,NA
"Calliphora hilli",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora lilaea",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora peruviana",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora plebeia",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora sternalis",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora stygia",NA,NA,NA,NA,"AY842653.1","638",NA,NA
"Calliphora tibialis",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora varifrons",NA,NA,NA,NA,"AY842654.1","629",NA,NA
"Calliphora vicina","OY288238.1","16716","JX402733.1","648","JN014900.1","2300",NA,NA
"Calliphora vicinaI",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora vicinaII",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora viridenscens",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora viridescens",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora vomitoria","NC_028411.1","16134","JX402734.1","648","GQ223307.1","667",NA,NA
"Calliphora vomitoriaI",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora vomitoriaII",NA,NA,NA,NA,NA,NA,NA,NA
"Calliphora vomitoriaIII",NA,NA,NA,NA,NA,NA,NA,NA
"Calliprobola crawfordi",NA,NA,NA,NA,NA,NA,NA,NA
"Callitroga hominivorax",NA,NA,NA,NA,NA,NA,NA,NA
"Callitroga macellaria",NA,NA,NA,NA,NA,NA,NA,NA
"Callitroga mocellaria",NA,NA,NA,NA,NA,NA,NA,NA
"Camptochironomus tentans",NA,NA,NA,NA,NA,NA,NA,NA
"Camptoneura picta",NA,NA,NA,NA,NA,NA,NA,NA
"Camptonoura picta",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis obscura",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.",NA,NA,NA,NA,NA,NA,NA,NA
